deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome,won,created_year,created_month,created_quarter,closed_quarter,period,deal_size_band,cycle_band,rep_win_rate,rep_quartile,risk_score,risk_score_pct,risk_tier,risk_factors,recommended_action
D03479,2024-02-17,2024-04-05,rep_20,EdTech,India,Pro,Outbound,Demo,97199,48,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Slow (45-80d),0.46956521739130436,Q2,0.836606965377118,83.7,Critical Risk,"Large deal: $97,199 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D03242,2024-02-10,2024-04-04,rep_5,EdTech,India,Core,Partner,Negotiation,98426,54,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Slow (45-80d),0.4577114427860697,Q2,0.8316769630843398,83.2,Critical Risk,"Large deal: $98,426 | Lead Source: Partner",Escalate to senior rep + schedule executive sponsor call
D00733,2024-01-16,2024-01-25,rep_20,EdTech,Europe,Core,Referral,Qualified,7575,9,Lost,0,2024,1,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.46956521739130436,Q2,0.8316780855482379,83.2,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D02188,2024-02-28,2024-06-27,rep_24,SaaS,India,Core,Outbound,Negotiation,72126,120,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.4482758620689655,Q3,0.827628127377139,82.8,Critical Risk,"Long cycle: 120d | Large deal: $72,126 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D03878,2024-01-09,2024-03-06,rep_2,FinTech,North America,Core,Partner,Demo,98217,57,Lost,0,2024,1,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Slow (45-80d),0.46153846153846156,Q2,0.8250128915159362,82.5,Critical Risk,"Large deal: $98,217 | Lead Source: Partner",Escalate to senior rep + schedule executive sponsor call
D04425,2024-03-14,2024-03-21,rep_5,HealthTech,APAC,Core,Referral,Closed,4040,7,Won,1,2024,3,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.4577114427860697,Q2,0.8219621088982079,82.2,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D02169,2024-02-22,2024-04-19,rep_9,HealthTech,India,Pro,Outbound,Demo,97822,57,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Slow (45-80d),0.44623655913978494,Q3,0.8104062712040078,81.0,Critical Risk,"Large deal: $97,822 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D02016,2024-02-13,2024-03-24,rep_6,FinTech,APAC,Pro,Outbound,Demo,97505,40,Lost,0,2024,2,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Normal (20-45d),0.42786069651741293,Q4 (Bottom),0.8049416587376195,80.5,Critical Risk,"Large deal: $97,505 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D04575,2024-03-23,2024-03-30,rep_3,EdTech,Europe,Enterprise,Inbound,Negotiation,6590,7,Lost,0,2024,3,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.4722222222222222,Q1 (Top),0.8051963488229913,80.5,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D04199,2024-03-26,2024-04-04,rep_22,HealthTech,North America,Core,Partner,Qualified,7634,9,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Small (<10K),Fast (<20d),0.4009433962264151,Q4 (Bottom),0.7979777596553166,79.8,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D01734,2024-01-06,2024-01-13,rep_17,Ecommerce,Europe,Enterprise,Partner,Qualified,6632,7,Lost,0,2024,1,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.44571428571428573,Q3,0.7934666791389396,79.3,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D04677,2024-03-21,2024-03-28,rep_8,Ecommerce,APAC,Enterprise,Outbound,Demo,6225,7,Won,1,2024,3,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.48128342245989303,Q1 (Top),0.7909856817558815,79.1,Critical Risk,Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D04788,2024-02-06,2024-05-28,rep_7,SaaS,India,Pro,Outbound,Negotiation,3426,112,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.4166666666666667,Q4 (Bottom),0.7812316100779576,78.1,Critical Risk,Long cycle: 112d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D03369,2024-03-04,2024-03-12,rep_4,EdTech,North America,Enterprise,Inbound,Demo,7410,8,Won,1,2024,3,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.458128078817734,Q2,0.7803873963582719,78.0,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D01945,2024-02-13,2024-06-06,rep_14,EdTech,APAC,Core,Outbound,Demo,3476,114,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.4396135265700483,Q4 (Bottom),0.7781235227936082,77.8,Critical Risk,Long cycle: 114d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D03944,2024-03-23,2024-03-30,rep_21,FinTech,North America,Pro,Inbound,Negotiation,5130,7,Won,1,2024,3,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.5096153846153846,Q1 (Top),0.769491060767993,76.9,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D03952,2024-02-18,2024-04-01,rep_18,FinTech,North America,Core,Outbound,Closed,97450,43,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Normal (20-45d),0.40860215053763443,Q4 (Bottom),0.7666818344984055,76.7,Critical Risk,"Large deal: $97,450 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D00531,2024-01-14,2024-04-21,rep_11,SaaS,North America,Pro,Outbound,Negotiation,97616,98,Lost,0,2024,1,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.465,Q2,0.7640897097453254,76.4,Critical Risk,"Long cycle: 98d | Large deal: $97,616 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D00536,2024-03-19,2024-03-29,rep_23,Ecommerce,India,Pro,Referral,Proposal,71677,10,Won,1,2024,3,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Fast (<20d),0.44565217391304346,Q3,0.7600976684390235,76.0,Critical Risk,"Large deal: $71,677 | Lead Source: Referral",Escalate to senior rep + schedule executive sponsor call
D02829,2024-02-26,2024-03-31,rep_2,Ecommerce,North America,Enterprise,Referral,Demo,84068,34,Lost,0,2024,2,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Normal (20-45d),0.46153846153846156,Q2,0.7466411608965359,74.7,Critical Risk,"Large deal: $84,068 | Lead Source: Referral",Escalate to senior rep + schedule executive sponsor call
D01155,2024-01-11,2024-05-03,rep_8,HealthTech,India,Pro,Inbound,Demo,3085,113,Lost,0,2024,1,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.48128342245989303,Q1 (Top),0.7433799920523289,74.3,Critical Risk,Long cycle: 113d | Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D03094,2024-02-18,2024-06-15,rep_13,SaaS,APAC,Enterprise,Partner,Negotiation,78254,118,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.441025641025641,Q4 (Bottom),0.741043598033137,74.1,Critical Risk,"Long cycle: 118d | Large deal: $78,254 | Lead Source: Partner",Escalate to senior rep + schedule executive sponsor call
D00592,2024-02-14,2024-05-17,rep_13,HealthTech,APAC,Core,Inbound,Qualified,2537,93,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.441025641025641,Q4 (Bottom),0.7358025043160104,73.6,Critical Risk,Long cycle: 93d | Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
